School Year,District Code,School Code,District Name,School Name,Overall Accountability Score,Overall Accountability Rating,Lowest Grade in the School,Highest Grade in the School,School Type,School Enrollment,District Enrollment,Percent American Indian or Alaskan Native,Percent Asian,Percent Black or African American,Percent Hispanic/Latino,Percent Native Hawaiian or Other Pacific Islander,Percent White,Percent Two or More Races,Percent Students with Disabilities,Percent Economically Disadvantaged,Percent English Learners,Percent School Choice Program,Percent Open Enrollment,School Achievement Score,School ELA Achievement Score,School Mathematics Achievement Score,School Growth Score,School ELA Growth Score,School Mathematics Growth Score,School Target Group Outcomes Score,School Target Group Achievement Score,School Target Group Growth Score,School Target Group Chronic Absenteeism Score,School Target Group Graduation Score,School Target Group Attendance Score,School On-Track to Graduation Score,School Chronic Absenteeism Rate Score,School Graduation Rate Score,School Attendance Rate Score,School 3rd Grade ELA Achievement Score,School 8th Grade Mathematics Achievement Score,State ELA Achievement Score,State Mathematics Achievement Score,State ELA Growth Score,State Mathematics Growth Score,State Chronic Absenteeism Rate Score,State Graduation Rate Score,State Attendance Rate Score,State 3rd Grade ELA Achievement Score,State 8th Grade Mathematics Achievement Score,Test Participation ELA 2022 All Students,Test Participation Mathematics 2022 All Students,Subgroup with lowest ELA test participation rate 2022,Test Participation ELA 2022 lowest rate subgroup,Subgroup with lowest math test participation rate 2022,Test Participation Mathematics 2022 lowest rate subgroup,Score weighting Achievement Priority Area,Score weighting Growth Priority Area,Score weighting Target Group Outcomes Priority Area,Score weighting Ontrack Priority Area,School Percent Proficient ELA 2019,State Percent Proficient ELA 2019,School Percent Proficient Mathematics 2019,State Percent Proficient Mathematics 2019,School Percent Proficient ELA 2021,State Percent Proficient ELA 2021,School Percent Proficient Mathematics 2021,State Percent Proficient Mathematics 2021,School Percent Proficient ELA 2022,State Percent Proficient ELA 2022,School Percent Proficient Mathematics 2022,State Percent Proficient Mathematics 2022,Single-school district note,Open enrollment note,No Score Note,Grade Band for Comparison Schools,CESA,Locale description,City,Agency type,Charter school indicator,Chartering authority,Virtual school indicator,Report Card Type
2021-22,5607,50,Stevens Point Area Public,Bannach Elementary,79.6,Exceeds Expectations,KG,6,Elementary School,379,6986,0.008,0.05,0.013,0.05,0,0.836,0.042,0.148,0.306,0.047,NA,0.034,80.8,78.4,83.2,74.6,75.5,73.6,69.7,36.6,65.1,91.6,NA,97.4,92.6,94,NA,97.4,80.4,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.996,0.996,White,0.995,White,0.995,0.279,0.221,0.25,0.25,0.538,0.404,0.645,0.468,0.538,0.371,0.506,0.424,0.617,0.386,0.673,0.451,NA,,,K-5,5,Town,Stevens Point,Public school,No,NA,No,Public - All Students
2021-22,5607,10,Stevens Point Area Public,Benjamin Franklin Junior High,66.6,Meets Expectations,7,9,Junior High School,825,6986,0.002,0.084,0.018,0.102,0,0.745,0.048,0.13,0.448,0.075,NA,0.016,59.5,63.1,55.9,60.3,62.2,58.4,61.1,18.7,64.1,88.1,NA,95.7,85.3,92.2,NA,96.9,NA,48.1,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.96,0.96,SwD,0.882,SwD,0.882,0.185,0.315,0.25,0.25,0.454,0.407,0.396,0.388,0.398,0.387,0.342,0.331,0.359,0.362,0.331,0.339,NA,,,6-8,5,Town,Stevens Point,Public school,No,NA,No,Public - All Students
2021-22,5607,310,Stevens Point Area Public,Charles F Fernandez Center Alt Learning,AR,Alternate Rating - Satisfactory Progress,9,12,High School,81,6986,0,0.012,0.049,0.16,0,0.679,0.099,0.358,0.852,0.025,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.538,0.538,Econ Disadv,0.476,Econ Disadv,0.476,NA,NA,NA,NA,0,0.408,0,0.375,0,0.392,0,0.339,0,0.388,0,0.34,NA,,,9-12,5,Town,Stevens Point,Public school,No,NA,No,Public - All Students
2021-22,5607,140,Stevens Point Area Public,Jefferson Elementary,77.8,Exceeds Expectations,KG,6,Elementary School,238,6986,0.008,0.08,0.021,0.084,0,0.744,0.063,0.147,0.605,0.059,NA,0.004,65.5,61.4,69.6,84.1,90.7,77.4,63.4,18.2,69.8,79,NA,94.8,85.6,90.3,NA,96.8,53.7,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,1,1,NA,NA,NA,NA,0.08,0.42,0.25,0.25,0.389,0.404,0.442,0.468,0.354,0.371,0.451,0.424,0.473,0.386,0.526,0.451,NA,,,K-5,5,Town,Stevens Point,Public school,No,NA,No,Public - All Students
2021-22,5607,320,Stevens Point Area Public,Juvenile Detention,AR,Alternate Rating - Satisfactory Progress,KG,12,Elementary/Secondary School,7,6986,0,0,0,0.143,0,0.857,0,*,*,*,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,57.7,66,66,85.7,91.2,NA,57,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.407,0,0.41,NA,0.384,NA,0.364,NA,0.379,NA,0.375,NA,,,K-12,5,Town,Stevens Point,Public school,No,NA,No,Public - All Students
2021-22,5607,160,Stevens Point Area Public,Kennedy Elementary,73,Exceeds Expectations,KG,6,Elementary School,176,6986,0,0.017,0.017,0.085,0,0.841,0.04,0.199,0.392,0.023,NA,0.028,67.1,62.9,71.3,67.9,64.1,71.7,70,25.6,70.8,88.3,NA,97.3,86.9,92.3,NA,97.5,54.8,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.991,0.983,SwD,0.957,SwD,0.957,0.222,0.278,0.25,0.25,0.504,0.404,0.557,0.468,0.361,0.371,0.5,0.424,0.414,0.386,0.468,0.451,NA,,,K-5,5,Rural,Junction City,Public school,No,NA,No,Public - All Students
2021-22,5607,190,Stevens Point Area Public,Madison Elementary,71,Exceeds Expectations,KG,6,Elementary School,364,6986,0.003,0.047,0.038,0.082,0.003,0.755,0.071,0.214,0.555,0.047,NA,0.022,64.1,60.8,67.3,70.8,62.2,79.3,59.1,16.4,64.1,84.1,NA,95,86.5,88.8,NA,96.1,62.7,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.986,0.991,Hispanic,0.9,Hispanic,0.9,0.113,0.387,0.25,0.25,0.311,0.404,0.417,0.468,0.376,0.371,0.376,0.424,0.447,0.386,0.513,0.451,NA,,,K-5,5,Town,Stevens Point,Public school,No,NA,No,Public - All Students
2021-22,5607,200,Stevens Point Area Public,McDill Elementary,73.5,Exceeds Expectations,KG,6,Elementary School,313,6986,0,0.109,0.01,0.073,0,0.78,0.029,0.134,0.326,0.08,NA,0.019,71.9,69.9,73.9,65.1,71.7,58.4,66.8,29.8,64.1,93.7,NA,96.5,89.9,95.8,NA,97.7,62.4,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.972,0.972,SwD,0.926,SwD,0.926,0.266,0.234,0.25,0.25,0.514,0.404,0.553,0.468,0.41,0.371,0.465,0.424,0.515,0.386,0.515,0.451,NA,,,K-5,5,Town,Stevens Point,Public school,No,NA,No,Public - All Students
2021-22,5607,100,Stevens Point Area Public,McKinley Center,71.4,Exceeds Expectations,KG,6,Elementary School,386,6986,0,0.13,0.031,0.075,0,0.661,0.104,0.142,0.58,0.127,NA,0.008,59.5,56.7,62.2,67.9,67.9,67.9,66.9,15.8,71.7,87,NA,96.9,86.2,92,NA,96.9,53.4,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.974,0.974,SwD,0.868,SwD,0.868,0.097,0.403,0.25,0.25,0.433,0.404,0.558,0.468,0.33,0.371,0.384,0.424,0.329,0.386,0.365,0.451,NA,,,K-5,5,Town,Stevens Point,Public school,No,NA,No,Public - All Students
2021-22,5607,240,Stevens Point Area Public,P J Jacobs Junior High,67.8,Meets Expectations,7,9,Junior High School,637,6986,0.003,0.046,0.014,0.083,0,0.815,0.039,0.144,0.408,0.031,NA,0.03,62,65.6,58.4,62.2,60.3,64.1,60.5,19.7,64.1,84.3,NA,95.8,86.6,91.1,NA,96.8,NA,57.2,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.951,0.946,Two or More,0.84,Two or More,0.8,0.211,0.289,0.25,0.25,0.503,0.407,0.477,0.388,0.407,0.387,0.342,0.331,0.37,0.362,0.336,0.339,NA,,,6-8,5,Town,Stevens Point,Public school,No,NA,No,Public - All Students
